id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
7048543041,new york city,1800,apartment,900,1,1,0,0,1,0,0,0,no laundry on site,no parking,40.607,-73.9629,ny
7048277368,new york city,1750,apartment,650,1,1,0,0,1,0,0,0,no laundry on site,no parking,40.6478,-74.013,ny
7048237930,new york city,2390,condo,950,3,1,1,1,1,0,0,0,w/d hookups,,40.6504,-74.01,ny
7051132146,new york city,2550,apartment,600,2,1,1,0,1,0,0,0,,,40.742,-73.9792,ny
7051131790,new york city,2550,apartment,600,2,1,1,0,1,0,0,0,,,40.742,-73.9792,ny
7048497001,new york city,1895,apartment,800,2,1,0,0,1,0,0,0,,,40.8235,-73.878,ny
7048492814,new york city,2700,apartment,1300,3,2,0,0,1,0,0,0,no laundry on site,attached garage,40.6011,-73.9475,ny
7050642799,new york city,3150,apartment,2500,3,2,0,0,1,0,0,0,w/d in unit,,40.6762,-73.8736,ny
7050558998,new york city,1950,apartment,1000,2,1,0,0,0,0,0,0,w/d in unit,street parking,40.7102,-74.0642,ny
7050415116,new york city,2500,apartment,1100,2,1,1,0,1,0,0,0,laundry in bldg,,40.6996,-73.9521,ny
7050407699,new york city,3795,apartment,822,2,1,1,1,1,0,0,0,,,40.7091,-74.0146,ny
7050407378,new york city,2300,apartment,900,2,2,0,0,1,0,0,0,laundry in bldg,,40.7029,-73.8111,ny
7050403493,new york city,1950,apartment,700,1,1,0,0,0,0,0,0,laundry in bldg,,40.7462,-73.9081,ny
7050958460,new york city,1450,apartment,500,0,1,0,0,1,0,0,0,,,40.636,-74.0232,ny
7050871069,new york city,2500,apartment,20,2,1,1,0,1,0,0,0,,,40.7095,-73.9563,ny
7050869644,new york city,3099,apartment,850,1,1,1,1,1,0,0,0,w/d in unit,,40.7446,-73.9577,ny
7050868972,new york city,4968,apartment,950,2,2,1,1,1,0,0,0,w/d in unit,,40.7704,-73.9922,ny
7050152969,new york city,2478,apartment,800,0,1,1,1,1,0,0,0,w/d in unit,attached garage,40.7481,-73.9398,ny
7049996137,new york city,2599,house,1200,3,1.5,1,1,1,0,0,0,no laundry on site,street parking,40.6766,-73.9249,ny
7049992139,new york city,1700,apartment,700,1,1,1,1,1,0,0,0,no laundry on site,,40.6333,-73.9764,ny
7049991540,new york city,3550,house,1500,4,2,0,0,0,0,0,0,w/d in unit,,40.6729,-73.5365,ny
7049990373,new york city,2478,apartment,550,0,1,1,1,1,0,0,0,w/d in unit,,40.7446,-73.9345,ny
7049372671,new york city,2599,apartment,1400,3,2,1,1,1,0,0,0,,,40.673,-73.9252,ny
7049115654,new york city,2400,apartment,900,2,1,1,0,1,0,0,0,laundry in bldg,,40.7842,-73.7778,ny
7048756530,new york city,2075,condo,315,0,1,0,0,0,0,0,0,laundry in bldg,no parking,40.7614,-73.9889,ny
7048741617,new york city,3021,apartment,700,1,1,1,1,1,1,0,0,laundry in bldg,attached garage,40.7454,-73.9575,ny
7048419127,new york city,2495,apartment,700,1,1,1,0,1,0,0,0,laundry in bldg,,40.7503,-73.9968,ny
7050345900,new york city,1700,townhouse,600,1,1,0,0,1,0,0,0,,,40.7428,-73.7588,ny
7050334625,new york city,7695,apartment,1500,2,2,1,1,1,0,0,0,w/d in unit,attached garage,40.7794,-73.9546,ny
7051257763,new york city,2050,townhouse,1500,2,1.5,1,0,0,0,0,0,w/d in unit,off-street parking,40.6348,-74.089,ny
7051254028,new york city,1100,apartment,400,1,1,0,0,0,0,0,1,no laundry on site,off-street parking,41.143,-73.3683,ny
7051241703,new york city,3995,apartment,900,2,1,1,1,1,0,0,0,laundry in bldg,,40.7064,-74.0157,ny
7051232661,new york city,1987,apartment,800,2,1,0,0,1,0,0,0,no laundry on site,no parking,40.6225,-73.965,ny
7051231445,new york city,3212,apartment,750,1,1,1,1,1,0,0,0,w/d in unit,,40.7496,-73.9365,ny
7051231443,new york city,3200,apartment,700,2,1,0,0,1,0,0,0,w/d in unit,,40.7597,-73.9918,ny
7051231208,new york city,3240,apartment,850,1,1,0,0,1,0,0,0,laundry in bldg,,40.7816,-73.9511,ny
7051231052,new york city,2400,apartment,500,0,1,0,0,1,0,0,0,laundry in bldg,,40.7816,-73.9511,ny
7051227121,new york city,3500,apartment,800,0,1,1,1,1,0,0,0,laundry in bldg,,40.7455,-74.0054,ny
7051226466,new york city,3995,apartment,1000,3,1,1,1,1,0,0,0,laundry in bldg,,40.7053,-74.0162,ny
7051226096,new york city,3320,apartment,720,1,1,1,1,1,0,0,0,laundry in bldg,,40.7704,-73.9922,ny
7051222690,new york city,2100,apartment,825,1,1,0,0,1,1,0,0,,,40.7405,-73.9259,ny
7051220745,new york city,2400,apartment,1100,3,2,0,0,1,0,0,0,no laundry on site,no parking,40.8184,-73.8958,ny
7051217135,new york city,1350,apartment,600,0,1,0,0,1,0,0,0,laundry in bldg,street parking,40.9,-73.8622,ny
7051217002,new york city,2100,apartment,1350,2,1,0,0,0,0,0,0,no laundry on site,no parking,40.7259,-73.9907,ny
7051214890,new york city,1550,apartment,1200,1,1,0,0,0,0,0,0,no laundry on site,street parking,40.7851,-73.8096,ny
7051214824,new york city,3675,apartment,730,1,1,1,1,1,0,0,0,w/d in unit,,40.7135,-73.9671,ny
7051205447,new york city,5042,apartment,1000,2,2,1,1,1,0,0,0,laundry in bldg,attached garage,40.7446,-73.9345,ny
7051205449,new york city,5995,apartment,1525,4,0,1,1,1,0,0,0,laundry in bldg,,40.7656,-73.9885,ny
7051201134,new york city,1900,apartment,800,2,1,0,0,1,0,0,0,,,40.5766,-73.8428,ny
7051199923,new york city,3350,apartment,700,1,1,1,1,1,0,0,0,laundry in bldg,attached garage,40.7446,-73.9345,ny
7051195478,new york city,2773,apartment,550,0,1,1,1,1,0,0,0,laundry in bldg,attached garage,40.7446,-73.9345,ny
7051193266,new york city,4000,apartment,1500,3,2,0,0,1,0,0,0,w/d in unit,off-street parking,40.7445,-74.0329,ny
7051192958,new york city,2520,apartment,550,0,1,1,1,0,1,0,0,w/d in unit,,40.7446,-73.9345,ny
7051189550,new york city,950,apartment,1200,3,1,0,0,1,0,0,1,w/d in unit,,40.8231,-73.9538,ny
7051150304,new york city,3850,apartment,800,1,1,1,1,1,1,0,0,laundry in bldg,attached garage,40.7521,-73.9739,ny
7051183408,new york city,1700,apartment,1056,2,1,1,1,1,0,0,0,w/d hookups,street parking,40.737,-74.1964,ny
7051174405,new york city,2300,apartment,1000,3,1,0,0,0,1,0,0,no laundry on site,street parking,40.8429,-73.8214,ny
7051169272,new york city,2552,apartment,100,0,1,0,0,1,0,0,0,laundry in bldg,,40.7402,-73.9996,ny
7051159199,new york city,6545,apartment,1100,2,2,1,1,1,1,0,0,w/d in unit,detached garage,40.7238,-73.9918,ny
7051153052,new york city,1460,apartment,650,1,1,0,0,1,1,0,0,laundry in bldg,off-street parking,41.2018,-73.4383,ny
7051153010,new york city,4275,apartment,900,3,1,1,1,1,0,0,0,laundry in bldg,,40.7053,-74.0166,ny
7051151508,new york city,3600,apartment,780,2,1,1,1,1,1,0,0,laundry in bldg,detached garage,40.732,-73.9825,ny
7051150895,new york city,4990,apartment,990,3,1,1,1,1,1,0,0,laundry in bldg,detached garage,40.732,-73.9825,ny
